task_id,task_name,nist_sp_id,task_description,work_role,category
421,Task,T0017,"Apply service oriented security architecture principles to meet organization's confidentiality, integrity, and availability requirements.",General,Task
424B,Task,T0429,Assess policy needs and collaborate with stakeholders to develop policies to govern cyber activities.,General,Task
425,Task,T0018,Assess the effectiveness of cybersecurity measures utilized by system(s).,General,Task
426,Task,T0019,Assess threats to and vulnerabilities of computer system(s) to develop a security risk profile.,General,Task
427,Task,T0020,Develop content for cyber defense tools.,General,Task
429A,Task,T0430,Gather and preserve evidence used on the prosecution of computer crimes.,General,Task
431,Task,T0021,"Build, test, and modify product prototypes using working models or theoretical models.",General,Task
431A,Task,T0021,"Build, assess, and modify product prototypes using working models or theoretical models.",General,Task
432,Task,T0022,"Capture security controls used during the requirements phase to integrate security within the process, to identify key security objectives, and to maximize software security while minimizing disruption to plans and schedules.",General,Task
433,Task,T0023,Characterize and analyze network traffic to identify anomalous activity and potential threats to network resources.,General,Task
434A,Task,T0431,"Check system hardware availability, functionality, integrity, and efficiency.",General,Task
438A,Task,T0432,"Collect and analyze intrusion artifacts (e.g., source code, malware, and system configuration) and use discovered data to enable mitigation of potential cyber defense incidents within the enterprise.",General,Task
440,Task,T0024,Collect and maintain data needed to meet system cybersecurity reporting.,General,Task
445,Task,T0025,Communicate the value of information technology (IT) security throughout all levels of the organization stakeholders.,General,Task
446,Task,T0026,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",General,Task
447,Task,T0027,"Conduct analysis of log files, evidence, and other information in order to determine best methods for identifying the perpetrator(s) of a network intrusion.",General,Task
447A,Task,T0433,"Conduct analysis of log files, evidence, and other information in order to determine best methods for identifying the perpetrator(s) of a network intrusion or other crimes.",General,Task
448,Task,T0028,Conduct and/or support authorized penetration testing on enterprise network assets.,General,Task
451A,Task,T0434,"Conduct framing of pleadings to properly identify alleged violations of law, regulations, or policy/guidance.",General,Task
452,Task,T0029,Conduct functional and connectivity testing to ensure continuing operability.,General,Task
453,Task,T0030,Conduct interactive training exercises to create an effective learning environment.,General,Task
454,Task,T0031,Conduct interviews of victims and witnesses and conduct interviews or interrogations of suspects.,General,Task
456A,Task,T0435,"Conduct periodic system maintenance including cleaning (both physically and electronically), disk checks, routine reboots, data dumps, and testing.",General,Task
457,Task,T0032,"Conduct Privacy Impact Assessments (PIA) of the application’s security design for the appropriate security controls, which protect the confidentiality and integrity of Personally Identifiable Information (PII).",General,Task
458,Task,T0033,"Conduct risk analysis, feasibility study, and/or trade-off analysis to develop, document, and refine functional requirements and specifications.",General,Task
459A,Task,T0436,Conduct trial runs of programs and software applications to ensure the desired information is produced and instructions and security levels are correct.,General,Task
461,Task,T0034,"Confer with systems analysts, engineers, programmers, and others to design application and to obtain information on project limitations and capabilities, performance requirements, and interfaces.",General,Task
462,Task,T0035,"Configure and optimize network hubs, routers, and switches (e.g., higher-level protocols, tunneling).",General,Task
463,Task,T0036,"Confirm what is known about an intrusion and discover new information, if possible, after identifying intrusion via dynamic analysis.",General,Task
464,Task,T0037,"Construct access paths to suites of information (e.g., link pages) to facilitate access by end-users.",General,Task
465,Task,T0038,Develop threat model based on customer interviews and requirements.,General,Task
466,Task,T0039,Consult with customers to evaluate functional requirements.,General,Task
467,Task,T0040,Consult with engineering staff to evaluate interface between hardware and software.,General,Task
470,Task,T0041,Coordinate and provide expert technical support to enterprise-wide cyber defense technicians to resolve cyber defense incidents.,General,Task
471,Task,T0042,"Coordinate with Cyber Defense Analysts to manage and administer the updating of rules and signatures (e.g., intrusion detection/protection systems, anti-virus, and content blacklists) for specialized cyber defense applications.",General,Task
472,Task,T0043,Coordinate with enterprise-wide cyber defense staff to validate network alerts.,General,Task
475,Task,T0044,"Collaborate with stakeholders to establish the enterprise continuity of operations program, strategy, and mission assurance.",General,Task
476,Task,T0045,"Coordinate with systems architects and developers, as needed, to provide oversight in the development of design solutions.",General,Task
477,Task,T0046,Correct errors by making appropriate changes and rechecking the program to ensure desired results are produced.,General,Task
478,Task,T0047,Correlate incident data to identify specific vulnerabilities and make recommendations that enable expeditious remediation.,General,Task
479A,Task,T0437,Correlate training and learning to business or mission requirements.,General,Task
480,Task,T0048,"Create a forensically sound duplicate of the evidence (i.e., forensic image) that ensures the original evidence is not unintentionally modified, to use for data recovery and analysis processes. This includes, but is not limited to, hard drives, floppy diskettes, CD, PDA, mobile phones, GPS, and all tape formats.",General,Task
481A,Task,T0438,"Create, edit, and manage network access control lists on specialized cyber defense systems (e.g., firewalls and intrusion prevention systems).",General,Task
482,Task,T0049,Decrypt seized data using technical means.,General,Task
482A,Task,T0439,"Detect and analyze encrypted data, stenography, alternate data streams and other forms of concealed data.",General,Task
483,Task,T0050,Define and prioritize essential system capabilities or business functions required for partial or full system restoration after a catastrophic failure event.,General,Task
483A,Task,T0440,Captures and integrates essential system capabilities or business functions required for partial or full system restoration after a catastrophic failure event.,General,Task
484,Task,T0051,"Define appropriate levels of system availability based on critical system functions and ensure system requirements identify appropriate disaster recovery and continuity of operations requirements to include any appropriate fail-over/alternate site requirements, backup requirements, and material supportability requirements for system recover/restoration.",General,Task
485A,Task,T0441,Define and integrate current and future mission environments.,General,Task
487,Task,T0052,Define project scope and objectives based on customer requirements.,General,Task
490A,Task,T0442,Create training courses tailored to the audience and physical environment.,General,Task
490B,Task,T0443,Deliver training courses tailored to the audience and physical/virtual environments.,General,Task
491A,Task,T0444,"Apply concepts, procedures, software, equipment, and/or technology applications to students.",General,Task
492A,Task,T0445,"Design/integrate a cyber strategy that outlines the vision, mission, and goals that align with the organization's strategic plan.",General,Task
494,Task,T0053,Design and develop cybersecurity or cybersecurity-enabled products.,General,Task
496A,Task,T0446,"Design, develop, integrate, and update system security measures that provide confidentiality, integrity, availability, authentication, and non-repudiation.",General,Task
499,Task,T0054,"Design group policies and access control lists to ensure compatibility with organizational standards, business rules, and needs.",General,Task
500,Task,T0055,"Design hardware, operating systems, and software applications to adequately address cybersecurity requirements.",General,Task
500A,Task,T0447,"Design hardware, operating systems, and software applications to adequately address requirements.",General,Task
500B,Task,T0447,"Design hardware, operating systems, or software applications to adequately address requirements.",General,Task
501,Task,T0056,"Design or integrate appropriate data backup capabilities into overall system designs, and ensure appropriate technical and procedural processes exist for secure system backups and protected storage of backup data.",General,Task
502A,Task,T0448,Develop enterprise architecture or system components required to meet user needs.,General,Task
502B,Task,T0448,Develop enterprise architecture required to meet user needs.,General,Task
503A,Task,T0449,Design to security requirements to ensure requirements are met for all systems and/or applications.,General,Task
504A,Task,T0450,Design training curriculum and course content based on requirements.,General,Task
504B,Task,T0451,Participate in development of training curriculum and course content.,General,Task
505A,Task,T0452,"Design, build, implement, and maintain a knowledge management framework that provides end-users access to the organization’s intellectual capital.",General,Task
506,Task,T0057,"Design, develop, and modify software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design.",General,Task
507A,Task,T0453,Determine and develop leads and identify sources of information in order to identify and/or prosecute the responsible parties to an intrusion or other crimes.,General,Task
508,Task,T0058,Determine level of assurance of developed capabilities based on test results.,General,Task
511B,Task,T0454,Define baseline security requirements in accordance with applicable guidelines.,General,Task
512,Task,T0059,"Develop a plan to investigate alleged crime, violation, or suspicious activity utilizing computers and the internet.",General,Task
513,Task,T0060,Develop an understanding of the needs and requirements of information end-users.,General,Task
515A,Task,T0455,"Develop software system testing and validation procedures, programming, and documentation.",General,Task
515B,Task,T0456,Develop secure software testing and validation procedures.,General,Task
515C,Task,T0457,"Develop system testing and validation procedures, programming, and documentation.",General,Task
516,Task,T0061,Develop and direct system testing and validation procedures and documentation.,General,Task
516A,Task,T0061,Develop testing and validation procedures and documentation.,General,Task
517,Task,T0062,"Develop and document requirements, capabilities, and constraints for design procedures and processes.",General,Task
518,Task,T0063,Develop and document systems administration standard operating procedures.,General,Task
518A,Task,T0458,Comply with organization systems administration standard operating procedures.,General,Task
520,Task,T0064,"Review and validate data mining and data warehousing programs, processes, and requirements.",General,Task
520A,Task,T0459,Implement data mining and data warehousing applications.,General,Task
520B,Task,T0460,Develop and implement data mining and data warehousing programs.,General,Task
521A,Task,T0461,Implement and enforce local network usage policies and procedures.,General,Task
522,Task,T0065,Develop and implement network backup and recovery procedures.,General,Task
524,Task,T0066,Develop and maintain strategic plans.,General,Task
525A,Task,T0462,Develop procedures and test fail-over for system operations transfer to an alternate site based on system availability requirements.,General,Task
527,Task,T0067,Develop architectures or system components consistent with technical specifications.,General,Task
528A,Task,T0463,Develop cost estimates for new or modified system(s).,General,Task
529,Task,T0068,"Develop data standards, policies, and procedures.",General,Task
530,Task,T0069,Develop detailed security design documentation for component and interface specifications to support system design and development.,General,Task
530A,Task,T0464,Develop detailed design documentation for component and interface specifications to support system design and development.,General,Task
531,Task,T0070,Develop Disaster Recovery and Continuity of Operations plans for systems under development and ensure testing prior to systems entering a production environment.,General,Task
534,Task,T0071,"Develop/integrate cybersecurity designs for systems and networks with multilevel security requirements or requirements for the processing of multiple classification levels of data primarily applicable to government organizations (e.g., UNCLASSIFIED, SECRET, and TOP SECRET).",General,Task
537,Task,T0072,"Develop methods to monitor and measure risk, compliance, and assurance efforts.",General,Task
538,Task,T0073,Develop new or identify existing awareness and training materials that are appropriate for the intended audiences.,General,Task
539,Task,T0074,"Develop policy, programs, and guidelines for implementation.",General,Task
539A,Task,T0465,Develop guidelines for implementation.,General,Task
541,Task,T0075,Provide technical summary of findings in accordance with established reporting procedures.,General,Task
542,Task,T0076,Develop risk mitigation strategies to resolve vulnerabilities and recommend security changes to system or system components as needed.,General,Task
542A,Task,T0466,"Develop mitigation strategies to address cost, schedule, performance, and security risks.",General,Task
543,Task,T0077,Develop secure code and error handling.,General,Task
547,Task,T0078,Develop specific cybersecurity countermeasures and risk mitigation strategies for systems and/or applications.,General,Task
548,Task,T0079,"Develop specifications to ensure risk, compliance, and assurance efforts conform with security, resilience, and dependability requirements at the software application, system, and network environment level.",General,Task
550,Task,T0080,Develop test plans to address specifications and requirements.,General,Task
551A,Task,T0467,"Ensure training meets the goals and objectives for cybersecurity training, education, or awareness.",General,Task
554A,Task,T0468,"Diagnose and resolve customer reported system incidents, problems, and events.",General,Task
555,Task,T0081,Diagnose network connectivity problem.,General,Task
559A,Task,T0469,Analyze and report organizational security posture trends.,General,Task
559B,Task,T0470,Analyze and report system security posture trends.,General,Task
561,Task,T0082,"Document and address organization's information security, cybersecurity architecture, and systems security engineering requirements throughout the acquisition lifecycle.",General,Task
564A,Task,T0471,"Document original condition of digital and/or associated evidence (e.g., via digital photographs, written reports, hash function checking).",General,Task
565A,Task,T0472,"Draft, staff, and publish cyber policy.",General,Task
566,Task,T0083,Draft statements of preliminary or residual security risks for system operation.,General,Task
568,Task,T0084,Employ secure configuration management processes.,General,Task
569A,Task,T0473,Document and update as necessary all definition and architecture activities.,General,Task
571,Task,T0085,Ensure all systems security operations and maintenance activities are properly documented and updated as necessary.,General,Task
572,Task,T0086,Ensure application of security patches for commercial products integrated into system design meet the timelines dictated by the management authority for the intended operational environment.,General,Task
573,Task,T0087,Ensure chain of custody is followed for all digital media acquired in accordance with the Federal Rules of Evidence.,General,Task
574A,Task,T0474,"Provide legal analysis and decisions to inspector generals, privacy officers, oversight and compliance personnel with regard to compliance with cybersecurity policies and relevant legal and regulatory requirements.",General,Task
576,Task,T0088,Ensure cybersecurity-enabled products or other compensating security control technologies reduce identified risk to an acceptable level.,General,Task
578,Task,T0089,"Ensure security improvement actions are evaluated, validated, and implemented as required.",General,Task
579,Task,T0090,Ensure acquired or developed system(s) and architecture(s) are consistent with organization's cybersecurity architecture guidelines.,General,Task
584,Task,T0091,"Ensure that cybersecurity inspections, tests, and reviews are coordinated for the network environment.",General,Task
585,Task,T0092,Ensure that cybersecurity requirements are integrated into the continuity planning for that system and/or organization(s).,General,Task
590,Task,T0093,Ensure that protection and detection capabilities are acquired or developed using the IS security engineering approach and are consistent with organization-level cybersecurity architecture.,General,Task
593A,Task,T0475,Assess adequate access controls based on principles of least privilege and need-to-know.,General,Task
594,Task,T0094,Establish and maintain communication channels with stakeholders.,General,Task
596,Task,T0095,Establish overall enterprise information security architecture (EISA) with the organization’s overall security strategy.,General,Task
597,Task,T0096,"Establish relationships, if applicable, between the incident response team and other groups, both internal (e.g., legal department) and external (e.g., law enforcement agencies, vendors, and public relations professionals).",General,Task
598,Task,T0097,Evaluate and approve development efforts to ensure that baseline security safeguards are appropriately installed.,General,Task
598A,Task,T0097,Evaluate and approve development efforts to ensure that baseline security safeguards controls/measures are appropriately installed.,General,Task
599,Task,T0098,"Evaluate contracts to ensure compliance with funding, legal, and program requirements.",General,Task
600,Task,T0099,"Evaluate cost benefit, economic, and risk analysis in decision making process.",General,Task
602,Task,T0100,"Evaluate factors such as reporting formats required, cost constraints, and need for security restrictions to determine hardware configuration.",General,Task
606,Task,T0101,Evaluate the effectiveness and comprehensiveness of existing training programs.,General,Task
607,Task,T0102,"Evaluate the effectiveness of laws, regulations, policies, standards, or procedures.",General,Task
612A,Task,T0476,"Evaluate the impact of changes to laws, regulations, policies, standards, or procedures.",General,Task
613,Task,T0103,Examine recovered data for information of relevance to the issue at hand.,General,Task
616A,Task,T0477,Ensure the execution of disaster recovery and continuity of operations.,General,Task
618A,Task,T0478,"Provide guidance on laws, regulations, policies, standards, or procedures to management, personnel, or clients.",General,Task
620A,Task,T0479,"Employ information technology (IT) systems and digital storage media to solve, investigate, and/or prosecute cybercrimes and fraud committed against people and property.",General,Task
623,Task,T0104,Fuse computer network attack analyses with criminal and counterintelligence investigations and operations.,General,Task
626,Task,T0105,"Identify components or elements, allocate security functions to those elements, and describe the relationships between the elements.",General,Task
626A,Task,T0480,"Identify components or elements, allocate comprehensive functional components to include security functions, and describe the relationships between the elements.",General,Task
628,Task,T0106,Identify alternative information security strategies to address organizational security objective.,General,Task
629A,Task,T0481,"Identify and address cyber workforce planning and management issues (e.g. recruitment, retention, and training).",General,Task
630,Task,T0107,"Identify and direct the remediation of technical problems encountered during testing and implementation of new systems (e.g., identify and find work-arounds for communication protocols that are not interoperable).",General,Task
631,Task,T0108,Identify and prioritize critical business functions in collaboration with organizational stakeholders.,General,Task
632,Task,T0109,Identify and prioritize essential system functions or sub-systems required to support essential capabilities or business functions for restoration or recovery after a system failure or during a system recovery event based on overall system requirements for continuity and availability.,General,Task
633,Task,T0110,Identify and/or determine whether a security incident is indicative of a violation of law that requires specific legal action.,General,Task
634,Task,T0111,Identify basic common coding flaws at a high level.,General,Task
635,Task,T0112,Identify data or intelligence of evidentiary value to support counterintelligence and criminal investigations.,General,Task
636,Task,T0113,Identify digital evidence for examination and analysis in such a way as to avoid unintentional alteration.,General,Task
637,Task,T0114,Identify elements of proof of the crime.,General,Task
639A,Task,T0482,Make recommendations based on trend analysis for enhancements to software and hardware solutions to enhance customer experience.,General,Task
640,Task,T0115,Identify information technology (IT) security program implications of new technologies or technology upgrades.,General,Task
641,Task,T0116,Identify organizational policy stakeholders.,General,Task
643A,Task,T0483,"Identify potential conflicts with implementation of any cyber defense tools(e.g., tool and signature testing and optimization).",General,Task
644,Task,T0117,Identify security implications and apply methodologies within centralized and decentralized environments across the enterprises computer systems in software development.,General,Task
645,Task,T0118,Identify security issues around steady state operation and management of software and incorporate security measures that must be taken when a product reaches its end of life.,General,Task
646A,Task,T0484,"Document the protection needs (i.e., security controls) for the information system(s) and network(s) and document appropriately.",General,Task
648,Task,T0119,"Identify, assess, and recommend cybersecurity or cybersecurity-enabled products for use within a system and ensure recommended products are in compliance with organization's evaluation and validation requirements.",General,Task
649,Task,T0120,"Identify, collect, and seize documentary or physical evidence, to include digital media and logs associated with cyber intrusion incidents, investigations, and operations.",General,Task
653A,Task,T0485,"Implement security measures to resolve vulnerabilities, mitigate risks and recommend security changes to system or system components as needed.",General,Task
654A,Task,T0486,"Implement Risk Management Framework (RMF)/Security Assessment and Authorization (SA&A) requirements for dedicated cyber defense systems within the enterprise, and document and maintain records for them.",General,Task
654B,Task,T0486,"Implement risk assessment and authorization requirements per the Risk Management Framework (RMF) process for dedicated cyber defense systems within the enterprise, and document and maintain records for them.",General,Task
655A,Task,T0487,"Facilitate implementation of new or revised laws, regulations, executive orders, policies, standards, or procedures.",General,Task
656,Task,T0121,"Implement new system design procedures, test procedures, and quality standards.",General,Task
659,Task,T0122,Implement security designs for new or existing system(s).,General,Task
659A,Task,T0488,Implement designs for new or existing system(s).,General,Task
660,Task,T0123,Implement specific cybersecurity countermeasures for systems and/or applications.,General,Task
661A,Task,T0489,"Implement system security measures in accordance with established procedures to ensure confidentiality, integrity, availability, authentication, and non-repudiation.",General,Task
662,Task,T0124,"Incorporate cybersecurity vulnerability solutions into system designs (e.g., Cybersecurity Vulnerability Alerts).",General,Task
664A,Task,T0490,Install and configure database management systems and software.,General,Task
665A,Task,T0491,"Install and configure hardware, software, and peripheral equipment for system users in accordance with organizational standards.",General,Task
666,Task,T0125,"Install and maintain network infrastructure device operating system software (e.g., IOS, firmware).",General,Task
667,Task,T0126,"Install or replace network hubs, routers, and switches.",General,Task
669,Task,T0127,Integrate and align information security and/or cybersecurity policies to ensure system analysis meets security requirements.,General,Task
670A,Task,T0492,Ensure the integration and implementation of Cross-Domain Solutions (CDS) in a secure environment.,General,Task
671,Task,T0128,Integrate automated capabilities for updating or patching system software where practical and develop processes and procedures for manual updating and patching of system software based on current and projected patch timeline requirements for the operational environment of the system.,General,Task
673,Task,T0129,Integrate new systems into existing network architecture.,General,Task
674,Task,T0130,"Interface with external organizations (e.g., public affairs, law enforcement, Command or Component Inspector General) to ensure appropriate and accurate dissemination of incident and other Computer Network Defense information.",General,Task
675,Task,T0131,"Interpret and apply laws, regulations, policies, standards, or procedures to specific issues.",General,Task
676,Task,T0132,Interpret and/or approve security requirements relative to the capabilities of new information technologies.,General,Task
677,Task,T0133,Interpret patterns of non compliance to determine their impact on levels of risk and/or overall effectiveness of the enterprise’s cybersecurity program.,General,Task
679,Task,T0134,Lead and align information technology (IT) security priorities with the security strategy.,General,Task
680,Task,T0135,"Lead and oversee information security budget, staffing, and contracting.",General,Task
680A,Task,T0493,"Lead and oversee budget, staffing, and contracting.",General,Task
683,Task,T0136,Maintain baseline system security according to organizational policies.,General,Task
684,Task,T0137,Maintain database management systems software.,General,Task
685,Task,T0138,"Maintain deployable cyber defense audit toolkit (e.g., specialized cyber defense software and hardware) to support cyber defense audit missions.",General,Task
685A,Task,T0138,"Maintain deployable cybersecurity audit toolkit (e.g., specialized cyber defense software and hardware) to support cybersecurity audit missions.",General,Task
688,Task,T0139,Maintain directory replication services that enable information to replicate automatically from rear servers to forward units via optimized routing.,General,Task
690,Task,T0140,"Maintain information exchanges through publish, subscribe, and alert functions that enable users to send and receive critical information as required.",General,Task
691,Task,T0141,Maintain information systems assurance and accreditation materials.,General,Task
692,Task,T0142,"Maintain knowledge of applicable cyber defense policies, regulations, and compliance documents specifically related to cyber defense auditing.",General,Task
694,Task,T0143,Make recommendations based on test results.,General,Task
695,Task,T0144,"Manage accounts, network rights, and access to systems and equipment.",General,Task
695A,Task,T0494,"Administer accounts, network rights, and access to systems and equipment.",General,Task
696,Task,T0145,"Manage and approve Accreditation Packages (e.g., ISO/IEC 15026-2).",General,Task
696A,Task,T0495,"Manage Accreditation Packages (e.g., ISO/IEC 15026-2).",General,Task
696B,Task,T0145,Authorizing Official only: Approve authorization packages.,General,Task
696C,Task,T0495,Manage authorization packages.,General,Task
698A,Task,T0496,Perform asset management/inventory of information technology (IT) resources.,General,Task
700A,Task,T0497,Manage the information technology (IT) planning process to ensure that developed solutions meet customer requirements.,General,Task
701A,Task,T0498,"Manage system/server resources including performance, capacity, availability, serviceability, and recoverability.",General,Task
702,Task,T0146,"Manage the compilation, cataloging, caching, distribution, and retrieval of data.",General,Task
705,Task,T0147,Manage the monitoring of information security data sources to maintain organizational situational awareness.,General,Task
706,Task,T0148,"Manage the publishing of Computer Network Defense guidance (e.g., TCNOs, Concept of Operations, Net Analyst Reports, NTSM, MTOs) for the enterprise constituency.",General,Task
707,Task,T0149,Manage threat or target analysis of cyber defense information and production of threat information within the enterprise.,General,Task
708A,Task,T0499,Mitigate/correct security deficiencies identified during security/certification testing and/or recommend risk acceptance for the appropriate senior leader or authorized representative.,General,Task
709A,Task,T0500,"Modify and maintain existing software to correct errors, to adapt it to new hardware, or to upgrade interfaces and improve performance.",General,Task
710,Task,T0150,"Monitor and evaluate a system's compliance with information technology (IT) security, resilience, and dependability requirements.",General,Task
711,Task,T0151,Monitor and evaluate the effectiveness of the enterprise's cybersecurity safeguards to ensure they provide the intended level of protection.,General,Task
712,Task,T0152,Monitor and maintain databases to ensure optimal performance.,General,Task
713A,Task,T0501,Monitor and maintain system/server configuration.,General,Task
714A,Task,T0502,Monitor and report client-level computer system performance.,General,Task
716A,Task,T0503,"Monitor external data sources (e.g., cyber defense vendor sites, Computer Emergency Response Teams, Security Focus) to maintain currency of cyber defense threat condition and determine which security issues may have an impact on the enterprise.",General,Task
717A,Task,T0504,Assess and monitor cybersecurity related to system implementation and testing practices.,General,Task
718,Task,T0153,Monitor network capacity and performance.,General,Task
720A,Task,T0505,"Monitor the rigorous application of cyber policies, principles, and practices in the delivery of planning and management services.",General,Task
721,Task,T0154,Monitor and report the usage of knowledge management assets and resources.,General,Task
723,Task,T0155,"Document and escalate incidents (including event’s history, status, and potential impact for further action) that may cause ongoing and immediate impact to the environment.",General,Task
724A,Task,T0506,Seek consensus on proposed policy changes from stakeholders.,General,Task
726,Task,T0156,Oversee and make recommendations regarding configuration management.,General,Task
728A,Task,T0507,"Oversee installation, implementation, configuration, and support of system components.",General,Task
729A,Task,T0508,Verify minimum security requirements are in place for all applications.,General,Task
730,Task,T0157,Oversee the information security training and awareness program.,General,Task
731,Task,T0158,Participate in an information security risk assessment during the Security Assessment and Authorization process.,General,Task
731A,Task,T0158,Participate in risk assessment and authorization per Risk Management Framework processes.,General,Task
733,Task,T0159,Participate in the development or modification of the computer environment cybersecurity program plans and requirements.,General,Task
736,Task,T0160,Patch network vulnerabilities to ensure information is safeguarded against outside parties.,General,Task
737B,Task,T0509,Perform an information security risk assessment.,General,Task
738,Task,T0161,"Perform analysis of log files from a variety of sources (e.g., individual host logs, network traffic logs, firewall logs, and intrusion detection system [IDS] logs) to identify possible threats to network security.",General,Task
740,Task,T0162,Perform backup and recovery of databases to ensure data integrity.,General,Task
741A,Task,T0510,Coordinate incident response functions.,General,Task
743,Task,T0163,"Perform cyber defense incident triage, to include determining scope, urgency, and potential impact; identifying the specific vulnerability; and making recommendations that enable expeditious remediation.",General,Task
745,Task,T0164,Perform cyber defense trend analysis and reporting.,General,Task
748A,Task,T0511,Perform developmental testing on systems under development.,General,Task
749,Task,T0165,"Perform dynamic analysis to boot an “image” of a drive (without necessarily having the original drive) to see the intrusion as the user may have seen it, in a native environment.",General,Task
750,Task,T0166,Perform event correlation using information gathered from a variety of sources within the enterprise to gain situational awareness and determine the effectiveness of an observed attack.,General,Task
752,Task,T0167,Perform file signature analysis.,General,Task
753,Task,T0168,Perform hash comparison against established database.,General,Task
754,Task,T0169,Perform cybersecurity testing of developed applications and/or systems.,General,Task
755,Task,T0170,"Perform initial, forensically sound collection of images and inspect to discern possible mitigation/remediation on enterprise systems.",General,Task
756,Task,T0171,Perform integrated quality assurance testing for security functionality and resiliency attack.,General,Task
757A,Task,T0512,Perform interoperability testing on systems exchanging electronic information with other systems.,General,Task
758,Task,T0172,"Perform real-time forensic analysis (e.g., using Helix in conjunction with LiveView).",General,Task
759,Task,T0173,Perform timeline analysis.,General,Task
760,Task,T0174,Perform needs analysis to determine opportunities for new and improved business process solutions.,General,Task
761A,Task,T0513,Perform operational testing.,General,Task
762,Task,T0175,"Perform real-time cyber defense incident handling (e.g., forensic collections, intrusion correlation and tracking, threat analysis, and direct system remediation) tasks to support deployable Incident Response Teams (IRTs).",General,Task
763A,Task,T0514,Diagnose faulty system/server hardware.,General,Task
763B,Task,T0515,Perform repairs on faulty system/server hardware.,General,Task
764,Task,T0176,Perform secure programming and identify potential flaws in codes to mitigate vulnerabilities.,General,Task
764A,Task,T0516,"Perform secure program testing, review, and/or assessment to identify potential flaws in codes and mitigate vulnerabilities.",General,Task
765,Task,T0177,"Perform security reviews, identify gaps in security architecture, and develop a security risk management plan.",General,Task
765A,Task,T0517,Integrate results regarding the identification of gaps in security architecture.,General,Task
766A,Task,T0518,Perform security reviews and identify security gaps in architecture.,General,Task
767,Task,T0178,Perform security reviews and identify security gaps in security architecture resulting in recommendations for the inclusion into the risk mitigation strategy.,General,Task
768,Task,T0179,Perform static media analysis.,General,Task
769,Task,T0180,"Perform system administration on specialized cyber defense applications and systems (e.g., anti-virus, audit and remediation) or Virtual Private Network (VPN) devices, to include installation, configuration, maintenance, backup and restoration.",General,Task
770,Task,T0181,"Perform risk analysis (e.g., threat, vulnerability, and probability of occurrence) whenever an application or system undergoes a major change.",General,Task
771,Task,T0182,"Perform tier 1, 2, and 3 malware analysis.",General,Task
